STUDENT_ID	ESSAY_ID	PLACEMENT_SCORE	PLACEMENT_LEVEL	UNIVERSITY: 	SEX: 	DEPARTMENT: 	AGE: 	DEGREE: 	YEAR_ADDED	YEAR_OF_COURSE: 	NATIVE_LANGUAGE: 	FATHERS_NATIVE_LANGUAGE: 	MOTHERS_NATIVE_LANGUAGE: 	LANGUAGE_SPOKEN_AT_HOME: 	AGE_STARTED_English:	YEARS_STUDYING_English: 	STAY_English_WHEN: 	STAY_English_HOWLONG_WEEKS: 	ABILITY_SPEAKING_English: 	ABILITY_UNDERSTANDING_English: 	ABILITY_READING_English: 	ABILITY_WRITING_English	OTHER_LANGUAGE	OTHER_LANGUAGE1_NAME	ABILITY_SPEAKING_LANGUAGE1: 	ABILITY_UNDERSTANDING_LANGUAGE1: 	ABILITY_READING_LANGUAGE1: 	ABILITY_WRITING_LANGUAGE1: 	OTHER_LANGUAGE2_NAME	ABILITY_SPEAKING_LANGUAGE2: 	ABILITY_UNDERSTANDING_LANGUAGE2: 	ABILITY_READING_LANGUAGE2: 	ABILITY_WRITING_LANGUAGE2: 			TITLE_COMPOSITION: 	RESEARCH_FOR_ESSAY: 	HOURS_RESEARCH: 	SOURCE_ENGLISH_INTERNET: 	SOURCE_ENGLISH_NEWS/MAGS: 	SOURCE_ENGLISH_BOOKS/ARTICLES: 	SOURCE_ENGLISH_TV/RADIO: 	SOURCE_SPANISH_INTERNET: 	SOURCE_SPANISH_NEWS/MAGS: 	SOURCE_SPANISH_BOOKS/ARTICLES: 	SOURCE_SPANISH_TV/RADIO: 	HOW_LONG_WRITE: 	WHERE_WRITE_ESSAY: 	LANGUAGE_TOOLS: 	BILINGUAL_DICT_BOOK	BILINGUAL_DICT_SOFT	BILINGUAL_DICT_INTERNET	ENGLISH_MO0_DICT_BOOK	ENGLISH_MO0_DICT_SOFT	ENGLISH_MO0_DICT_INTERNET	GRAMMAR_BOOK	GRAMMAR_SOFT	GRAMMAR_INTERNET	THES_BOOK	THES_SOFT	THES_INERNET	SPELLCHECKER: 	NATIVE_HELP: 	OTHER_RESOURCES: 	ESSAY_FILENAME: 
A9	A9-1	27	A2	UAM	male	Filología Inglesa		Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	8	9		4	3	3	2	3	1	German	1	1	1	1	0	 	 	 	 			Gay people marriages and adoption	1	0.5	0	0	0	0	1	1	0	0	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A9-1.txt
A9	A9-2	27	A2	UAM	male	Filología Inglesa		Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	8	9		4	3	3	2	3	1	German	1	1	1	1	0	 	 	 	 			Marijuana legalization	1	0.5	1	0	0	0	1	1	0	1	5	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A9-2.txt
A10	A10-1	36	B1	UAM	male	Filología Inglesa	17	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	2	15			1	2	3	1	1	French	1	1	3	2	0	 	 	 	 			Gay people marriages and adoption	1	1	1	0	0	1	0	1	0	0	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A10-1.txt
A10	A10-2	36	B1	UAM	male	Filología Inglesa	17	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	2	15			1	2	3	1	1	French	1	1	3	2	0	 	 	 	 			Immigration in Spain	1	1	1	0	0	0	1	1	0	1	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A10-2.txt
A11	A11-1	47	B2	UAM	female	Filología Inglesa	35	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	5		"1997, 1999, 2000, 2004"	21 (4 visits)	5	6	6	4	1	French	4	5	5	3	German	1	1	1	1			Do you think that gay people should be allowed to get married and adopt children?	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		A11-1.txt
A11	A11-2	47	B2	UAM	female	Filología Inglesa	35	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	5		"1997, 1999, 2000, 2004"	21 (4 visits)	5	6	6	4	1	French	4	5	5	3	German	1	1	1	1			Discuss and analyse objectively a number of different perspectives concerning the legalisation of marihuana	0	0	0	0	0	0	0	0	0	0	3.5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		A11-2.txt
A12	A12-1	33	B1	UAM	male	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	3	15	2004	2	3	4	4	4	1						 	1	1	1	1			Homosexuality	1	5	1	0	0	0	1	0	0	0	3	2	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0		A12-1.txt
A12	A12-2	33	B1	UAM	male	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	3	15	2004	2	3	4	4	4	1						 	1	1	1	1			Marijuana	1	4	1	0	0	0	1	0	0	0	2	2	1	1	0	1	0	0	1	1	0	1	0	0	1	0	0	Help from non-native speaker	A12-2.txt
A13	A13-1	35	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	3	15			2	3	3	3	1	French	2	2	2	2	Italian	1	1	1	1			Gay marriage	1	0.5	0	0	0	0	0	1	0	1	4	2	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0		A13-1.txt
A13	A13-2	35	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	3	15			2	3	3	3	1	French	2	2	2	2	Italian	1	1	1	1			Immigration	1	3	0	0	0	0	1	0	1	0	4.5	2	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	Help from non-native speaker	A13-2.txt
A14	A14-1	30	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	4	14			2	4	3	3	1	French	3	3	3	3	0	 	 	 	 			Gay marriage	1	3	1	0	0	0	1	1	0	0	4	2	1	1	0	1	0	0	1	1	0	1	0	0	1	0	0		A14-1.txt
A14	A14-2	30	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	4	14			2	4	3	3	1	French	3	3	3	3	0	 	 	 	 			Legalization of marijuana	1	2	1	0	0	0	1	0	0	0	5	2	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0		A14-2.txt
A15	A15-1	 	 	UAM	male	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	6	12		4	2	3	4	4	1	Italian	5	6	6	5	0	 	 	 	 			Should gay people be alloed to get married and adopt children?	1	1	1	0	0	0	1	0	1	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A15-1.txt
A15	A15-2	 	 	UAM	male	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	6	12		4	2	3	4	4	1	Italian	5	6	6	5	0	 	 	 	 			Legalization of marijuana	1	1	1	0	0	0	0	0	0	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A15-2.txt
A16	A16-1	43	B2	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish and Catalan	Spanish and Catalan	Spanish	Spanish and Catalan	7	11		3	4	4	4	4	1	Catalan	6	6	6	6	French	1	2	2	2			Do you think that gay people should be married and adopt children?	0	0	0	0	0	0	0	0	0	0	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A16-1.txt
A16	A16-2	43	B2	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish and Catalan	Spanish and Catalan	Spanish	Spanish and Catalan	7	11		3	4	4	4	4	1	Catalan	6	6	6	6	French	1	2	2	2			Immigration	1	0.5	0	0	0	0	1	0	0	0	5	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A16-2.txt
A17	A17-1	43	B2	UAM	male	Filología Inglesa	21	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	9	10			3	4	4	3	1	French	2	3	4	2	Japanese	1	1	1	1			Traffic problems in Madrid	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Help from non-native speaker	A17-1.txt
A18	A18-1	29	A2	UAM	female	Filología Inglesa	22	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	6	15			2	2	3	3	1	Italian	1	2	2	2	0	 	 	 	 			New points system for driving offences?	1	0.5	0	0	0	0	0	1	0	1	6	2	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0		A18-1.txt
A18	A18-2	29	A2	UAM	female	Filología Inglesa	22	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	6	15			2	2	3	3	1	Italian	1	2	2	2	0	 	 	 	 			Immigration in Spain	1	1	0	0	0	0	1	0	0	0	7	2	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0		A18-2.txt
A19	A19-1	41	B2	UAM	male	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	8	10	2003	4	4	4	4	4	1	French	3	3	3	2	0	 	 	 	 			Solutions to reduce the traffic problems in Madrid	1	0.5	1	0	0	0	1	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A19-1.txt
A19	A19-2	41	B2	UAM	male	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	8	10	2003	4	4	4	4	4	1	French	3	3	3	2	0	 	 	 	 			Main viewpoints of immigration in Spain	1	0.5	1	0	0	0	1	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A19-2.txt
A28	A28-1	29	A2	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	9	9	2005	2	3	4	4	4	1	French	2	3	3	3	0	 	 	 	 			Traffic problems in Madrid	1	1	0	0	0	0	1	1	0	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1		A28-1.txt
A28	A28-2	29	A2	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	9	9	2005	2	3	4	4	4	1	French	2	3	3	3	0	 	 	 	 			Legalisation of Maijuana	1	0.5	0	0	0	0	1	0	0	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A28-2.txt
A29	A29-1	34	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	5	13			3	3	4	4	1	French	3	5	4	4	0	 	 	 	 			Do you think that gay people should be allowed to get married and adopt children?	1	2	1	0	0	0	1	0	0	1	6	2	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0		A29-1.txt
A29	A29-2	34	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	5	13			3	3	4	4	1	French	3	5	4	4	0	 	 	 	 			The number of immigrants in Spain has risen to around 7% of the population. Review some of the main viewpoints concerning the issue of immigration in Spain	1	2	1	0	0	0	1	0	1	0	4	2	1	1	0	1	0	0	1	0	0	1	0	0	1	0	1		A29-2.txt
A30	A30-1	50	C1	UAM	female	Filología Inglesa	19	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	6	13	"1998, 1999, 2001, 2003"	8	3	4	4	3	1	French	3	3	3	2	0	 	 	 	 			Do you think that gay people should be allowed to get married and adopt children?	0	0	0	0	0	0	0	0	0	0	2.5	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	Help from non-native speaker	A30-1.txt
A30	A30-2	50	C1	UAM	female	Filología Inglesa	19	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	6	13	"1998, 1999, 2001, 2003"	8	3	4	4	3	1	French	3	3	3	2	0	 	 	 	 			Discuss and analyse objectively a number of different perspectives concerning the legalisation of Marijuana	1	2	1	0	0	0	1	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	Help from non-native speaker	A30-2.txt
A31	A31-1	32	B1	UAM	female	Filología Inglesa	20	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	6	12			3	4	3	3	0						0	 	 	 	 			Gay people	1		0	0	0	0	1	1	0	1		2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Help from non-native speaker	A31-1.txt
A31	A31-2	32	B1	UAM	female	Filología Inglesa	20	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	6	12			3	4	3	3	0						0	 	 	 	 			Immigration	1		0	0	0	0	1	1	0	1		2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A31-2.txt
A32	A32-1	31	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	7	11		4	5	5	5	4	1	German	3	3	3	3	Finnish (Suomi)	1	1	1	1			What do you think are the main problems suffered by students	0	0	0	0	0	0	0	0	0	0		2	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0		A32-1.txt
A32	A32-2	31	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	7	11		4	5	5	5	4	1	German	3	3	3	3	Finnish (Suomi)	1	1	1	1			Should gay people be allowed to get married?	1	0.25	1	1	0	0	1	1	0	0		2	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0		A32-2.txt
A33	A33-1	33	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	6	12	2005	2	4	5	5	4	1	French	3	4	4	3	0	 	 	 	 			Do you think that gay people should be allowed to get married and adopt children?	1	1	1	0	0	0	1	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A33-1.txt
A33	A33-2	33	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	6	12	2005	2	4	5	5	4	1	French	3	4	4	3	0	 	 	 	 			Discuss and analyse objectively a number of differents perspectives concerning the legalisation of Marijana	1	1	1	0	0	0	1	0	0	0	2	2	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0		A33-2.txt
A35	A35-1	27	A2	UAM	female	Filología Inglesa	19	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	9	9			3	3	3	3	1						0	 	 	 	 			Do you think gay people should be allowed to get married?	1	1	0	0	0	0	1	0	0	1	3	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0		A35-1.txt
A35	A35-2	27	A2	UAM	female	Filología Inglesa	19	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	9	9			3	3	3	3	1						0	 	 	 	 			Immigration	1		1	0	1	0	0	0	0	0	5	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A35-2.txt
A36	A36-1	47	B2	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	3	15		4	5	5	5	4	1	French	2	3	2	2	Chinese	1	1	1	1			Do you think that gay people should be alloed to get married and adopt children?	1	0.5	0	0	0	0	0	0	0	0	3	2	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0		A36-1.txt
A36	A36-2	47	B2	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	3	15		4	5	5	5	4	1	French	2	3	2	2	Chinese	1	1	1	1			Legalisation of Marijuana	1	0.5	1	0	0	0	1	0	0	0	5	2	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0		A36-2.txt
A37	A37-1	30	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	8	10			1	3	3	2	1	Finnish	1	1	1	1	German	1	1	1	1			Gay marriage	1	1	1	0	0	0	1	0	0	0	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A37-1.txt
A37	A37-2	30	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	8	10			1	3	3	2	1	Finnish	1	1	1	1	German	1	1	1	1			Legalisation of Marijuana	1	1	1	0	0	0	1	0	0	0	3	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0		A37-2.txt
A38	A38-1	46	B2	UAM	male	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	English	English and Spanish	0	13		2	5	6	5	4	1	French	4	4	4	4	0	 	 	 	 			Traffic problems in Madrid	1	1	0	0	0	0	0	1	0	1	4	2	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	Help from non-native speaker	A38-1.txt
A39	A39-1	44	B2	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	9	9	"2005, 2004"	4	3	4	4	4	1	French	2	3	3	2	0	 	 	 	 			Homosexual marriages and adoption	1	2	1	0	0	0	1	0	0	1	6	2	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0		A39-1.txt
A39	A39-2	44	B2	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	9	9	"2005, 2004"	4	3	4	4	4	1	French	2	3	3	2	0	 	 	 	 			Immigration in Spain	1	1	1	0	0	0	1	0	0	0	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A39-2.txt
A41	A41-1	35	B1	UAM	female	Filología Inglesa	19	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	6	13		1	3	4	4	4	1	French	4	5	4	 	0	 	 	 	 			Homosexuals marriages and adoption	1	1	1	0	0	0	0	1	1	0	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Help from non-native speaker	A41-1.txt
A41	A41-2	35	B1	UAM	female	Filología Inglesa	19	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	6	13		1	3	4	4	4	1	French	4	5	4	 	0	 	 	 	 			Immigration	1	2	1	1	1	0	1	1	0	0	6	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A41-2.txt
A42	A42-1	37	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Portuguese and Spanish	Spanish	Spanish	8	10			2	3	2	3	1	German	1	1	2	1	Catalan	2	3	2	1			Gay marriage and adoption	1		1	0	0	0	1	1	0	0	4	2	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0		A42-1.txt
A42	A42-2	37	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Portuguese and Spanish	Spanish	Spanish	8	10			2	3	2	3	1	German	1	1	2	1	Catalan	2	3	2	1			Different perspectives about the legalisation of Marijuana	1	3	1	0	0	0	1	0	1	0	3	2	1	1	0	1	1	0	1	1	0	1	0	0	1	0	0		A42-2.txt
A43	A43-1	37	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	5	13	2005	4	4	4	4	5	1	Italian	2	4	3	3	French	3	4	3	3			What do you think are the main problems suffered by students?	1	0.5	1	0	0	0	0	0	0	0	3	2	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0		A43-1.txt
A43	A43-2	37	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	5	13	2005	4	4	4	4	5	1	Italian	2	4	3	3	French	3	4	3	3			"Attitudes towards abortion vary a great deal. Discuss the issue of abortion objectively, analysing a variety of viewpoints"	1	0.6	1	0	0	0	0	0	1	0	4	2	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0		A43-2.txt
A44	A44-1	37	B1	UAM	male	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	11	7		1	3	4	3	3	1	French	6	6	6	6	German	2	2	2	2				1	2.5	0	0	0	0	1	1	0	0	3	2	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0		A44-1.txt
A44	A44-2	37	B1	UAM	male	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	11	7		1	3	4	3	3	1	French	6	6	6	6	German	2	2	2	2				1	1.5	0	0	0	0	1	1	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A44-2.txt
A46	A46-1	38	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	5	13		2	4	4	4	4	1	French	3	4	4	3	0	 	 	 	 			Do you think that gay people should be allowed to get married and adopt children?	1	2	0	0	0	0	1	0	0	0	2	2	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0		A46-1.txt
A46	A46-2	38	B1	UAM	female	Filología Inglesa	18	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	5	13		2	4	4	4	4	1	French	3	4	4	3	0	 	 	 	 			Discuss and analyse objectively a number of different perspectives concerning the legalisation of Marijuana	1	3	0	0	0	0	1	0	1	0	3	2	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0		A46-2.txt
A47	A47-1	36	B1	UAM	male	Filología Inglesa	21	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	6	15			3	4	4	3	0						0	 	 	 	 			Traffic in Madrid	0	0	0	0	0	0	0	0	0	0	3	2	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0		A47-1.txt
A47	A47-2	36	B1	UAM	male	Filología Inglesa	21	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	6	15			3	4	4	3	0						0	 	 	 	 				1	1	0	0	0	0	1	0	1	0	4.5	2	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0		A47-2.txt
A48	A48-1	43	B2	UAM	female	Filología Inglesa	19	Filología Inglesa	2005	year1	Spanish	Spanish	Spanish	Spanish	3	16			3	5	4	4	1	French	2	4	4	2	Italian	2	4	3	1			Do you think that gay people should be allowed to getÉ	1	1	0	0	0	0	1	0	0	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		A48-1.txt
